@********nlifter, 25450, $406, Fitness & Sports, 07/09/2019
@****_cr7, 43697, $850, Fitness & Sports, 07/09/2019
@*****aily, 42463, $450, Gaming & Entertainment, 07/09/2019
@******slayer, 24668, $395, Fitness & Sports, 07/09/2019
@********tivated, 17333, $282, Fitness & Sports, 07/09/2019
@********pressive, 16717, $269, Fitness & Sports, 07/09/2019
@********nphotos, 27637, $439, Fitness & Sports, 07/09/2019
@******teslux, 20244, $327, Gaming & Entertainment, 07/09/2019
@*********orbikes21, 22001, $349, Cars & Bikes, 07/09/2019
@******iation, 52127, $824, Cars & Bikes, 07/09/2019
@***********yfanphotos, 19978, $316, Movies TV & Fanpages, 05/09/2019
@**********hatsdaily, 16799, $270, Movies TV & Fanpages, 05/09/2019
@***********dsomephotos, 21922, $349, Movies TV & Fanpages, 05/09/2019
@**********lovephotos, 22102, $349, Movies TV & Fanpages, 05/09/2019
@******warse, 19892, $315, Art & Design, 05/09/2019
@************lection_2019, 80814, $1100, Health & Beauty, 05/09/2019
@*****next, 72525, $700, Travel & Nature, 12/09/2019
@**********icalgoals, 89544, $800, Travel & Nature, 05/09/2019
@*****etzz_, 14101, $333, Tech & Computers, 05/09/2019
@******icted, 14595, $150, Cars & Bikes, 05/09/2019
@******_girls, 14101, $125, Fitness & Sports, 10/09/2019
@********topgirl, 21143, $150, Fitness & Sports, 05/09/2019
@******ehera0, 171473, $3000, Fashion & Style, 10/09/2019
@*****caela, 13536, $130, Humor & Memes, 10/09/2019
@*********reenshots, 65066, $335, Humor & Memes, 05/09/2019
@******.pets, 40743, $175, Humor & Memes, 05/09/2019
@***********liss_quotes, 5694, $150, Quotes & Text, 12/09/2019
@*****vape, 11094, $150, Blog & Lifestyle, 12/09/2019
@********_maester, 30557, $800, Humor & Memes, 05/09/2019
@******gamiac, 39936, $800, Gaming & Entertainment, 05/09/2019
@*********ngtravels, 26762, $600, Travel & Nature, 05/09/2019
@*****ocker, 19312, $280, Business & Brand, 05/09/2019
@****rwne, 7544, $150, Business & Brand, 05/09/2019
